Previous Designation,Prev_Desig_Class
" SALES OFFICER,SALES OFFICER,SALES OFFICER",SALES OFFICER
" SALES OFFICER,SALES OFFICER,SALES OFFICER,SALES OFFICER,SALES OFFICER",SALES OFFICER
 SALES OFFICER-CARDS,SALES OFFICER
" SALES OFFICER-CARDS &amp; PL,SALES OFFICER - SALARY,",SALES OFFICER
" SALES OFFICER-CARDS,SALES MANAGER,RELATIONSHIP MANAGER,SALES MANAGER,DEPUTY MANAGER,BRANCH MANAGER",BRANCH MANAGER
" SALES OFFICER-CARDS,TEAM MANAGER,MANAGEMENT TRAINEE",MANAGER
 SALES OFFICER-DIRECT MARKETING,SALES OFFICER
" SALES OFFICER-DIRECT MARKETING,CUSTOMER SERVICE REP,AGENCY MANAGER",MANAGER
 SALES OFFICER-INCL BANKING,SALES OFFICER
 SALES OFFICER-PL,SALES OFFICER
 SALES PROMOTION MANAGER,SALES MANAGER
" SALES PROMOTION MANAGER,SALES PROMOTION MANAGER,UNIT MANAGER",SALES MANAGER
 SECRETARY,OTHERS
" SECRETARY,DEVELOPMENT MANAGER,MANAGER,DEVELOPMENT MANAGER,EXECUTIVE",MANAGER
" SECURITY SUPERVISOR,MANAGER,ASSISTANT,DEPUTY BRANCH MANAGER",DEPUTY BRANCH MANAGER
" --Select--,ADMINISTRATION OFFICER,TRAINEE",OTHERS
" --Select--,CHIEF MANAGER,SALES OFFICER",MANAGER
" --Select--,CUSTOMER SERVICE OFFICER",SALES OFFICER
" --Select--,CUSTOMER SERVICE OFFICER,CREDIT ANALYST-CREDIT TEAM",CREDIT MANAGER
" --Select--,CUSTOMER SERVICE,OFFICER,OFFICER,OFFICER",SALES OFFICER
" --Select--,RELATIONSHIP MANAGER,CUSTOMER SERVICE,MANAGER,CUSTOMER SERVICE",RELATIONSHIP MANAGER
" --Select--,RELATIONSHIP MGR PROPERTY SER,BRANCH SALES MANAGER",SALES MANAGER
" --Select--,--Select--,--Select--,BRANCH MANAGER,BRANCH HEAD",BRANCH MANAGER
" --Select--,SENIOR MANAGER,MANAGER",MANAGER
" --Select--,SENIOR OFFICER,ASSISTANT MANAGER",ASSISTANT MANAGER
 Senior Accounts &amp; Audit,OTHERS
 Senior Analyst,OTHERS
" Senior Analyst,EXECUTIVE",OTHERS
 SENIOR ASSOCIATE,OTHERS
" SENIOR ASSOCIATE,ASSISTANT MANAGER",ASSISTANT MANAGER
" SENIOR ASSOCIATE,BRANCH OPERATIONS MANAGER",OPERATIONS MANAGER
" SENIOR ASSOCIATE,DEPUTY MANAGER",DEPUTY MANAGER
" SENIOR ASSOCIATE,Deputy Manager - Operations",OPERATIONS MANAGER
" SENIOR ASSOCIATE,MARKETING OFFICER,ASSISTANT MANAGER",ASSISTANT MANAGER
" SENIOR ASSOCIATE,QUALITY ANALYST",OTHERS
" SENIOR ASSOCIATE,SENIOR ASSOCIATE",OTHERS
" SENIOR ASSOCIATE,SENIOR ASSOCIATE,ADMIN MANAGER,ASSISTANT MANAGER",ASSISTANT MANAGER
" SENIOR ASSOCIATE,TEAM LEAD",MANAGER
" SENIOR ASSOCIATE,TEAM LEAD,TEAM LEAD",MANAGER
 Senior B.D.M.,DEPUTY MANAGER
 SENIOR BRANCH HEAD,BRANCH MANAGER
 SENIOR BRANCH MANAGER,BRANCH MANAGER
" SENIOR BRANCH MANAGER,ASSOCIATE VICE PRESIDENT,SALES OFFICER,SALES MANAGER-IR",BRANCH MANAGER
 Senior Consultant,OTHERS
 SENIOR DEVELOPMENT OFFICER,OTHERS
 Senior Engineer,OTHERS
 SENIOR ER MANAGER,OTHERS
 senior excutive,OTHERS
 SENIOR GENERAL MANAGER,OTHERS
 SENIOR MANAGER,MANAGER
" SENIOR MANAGER,AGENCY MANAGER",MANAGER
" SENIOR MANAGER,ASSISTANT MANAGER,MANAGER",MANAGER
" SENIOR MANAGER,BRANCH MANAGER",MANAGER
" SENIOR MANAGER,DEPUTY MANAGER",MANAGER
" SENIOR MANAGER,MANAGER,ASSISTANT MANAGER",MANAGER
" SENIOR MANAGER,SALES MANAGER,TEAM LEAD,other",MANAGER
" SENIOR MANAGER,SENIOR MANAGER",MANAGER
 SENIOR OFFICER,OTHERS
" SENIOR OFFICER,ACCOUNTS OFFICER",ACCOUNTS OFFICER
" SENIOR OFFICER,BRANCH SALES MGR - CASA",SALES MANAGER
" SENIOR OFFICER,CONSULTANT",OTHERS
" SENIOR OFFICER,DEPUTY BRANCH MANAGER,DEPUTY BRANCH MANAGER,DEPUTY BRANCH MANAGER",DEPUTY BRANCH MANAGER
" SENIOR OFFICER,EXECUTIVE",OTHERS
" SENIOR OFFICER,MANAGER",MANAGER
" SENIOR OFFICER,OFFICER",OTHERS
" SENIOR OFFICER,SALES OFFICER",SALES OFFICER
" SENIOR OFFICER,SENIOR MANAGER",MANAGER
" SENIOR OFFICER,SENIOR OFFICER",OTHERS
 Senior operation Executive,OTHERS
 SENIOR RELATIONSHIP MANAGER,RELATIONSHIP MANAGER
 senior sales officer,SALES MANAGER
 SENIOR SOLUTION MANAGER,OTHERS
 SENIOR TECHNICAL OFFICER,OTHERS
" SENIOR TECHNICAL OFFICER,UNIT MANAGER,SALES MANAGER  BC,MANAGER",SALES MANAGER
 SENIOR WEALTH MANAGER,WEALTH MANAGER
 Service delivery officer,OTHERS
 SERVICE MANAGER,MANAGER
" SERVICE MANAGER,BRANCH MANAGER",BRANCH MANAGER
 Service officer,SALES OFFICER
 Service Relationship Manager,RELATIONSHIP MANAGER
 SERVICE STAFF,OTHERS
" SERVICE STAFF,TRAINEE",OTHERS
 Site Engineer,OTHERS
 SM,OTHERS
 Sn TerritoryManager,MANAGER
 SOFTWARE ENGINEER,OTHERS
 Sr Analyst,OTHERS
 Sr BDM,DEPUTY BRANCH MANAGER
 Sr BM,BRANCH MANAGER
 SR CORP RELATIONSHIP MANAGER,RELATIONSHIP MANAGER
" SR CORP RELATIONSHIP MANAGER,&lt;--None--&gt;",RELATIONSHIP MANAGER
 Sr Manager,MANAGER
" Sr manager,DEALER",MANAGER
 Sr. BM,BRANCH MANAGER
 Sr. Mgr - NRI Business,MANAGER
 Sr. Officer,OTHERS
 Sr. Sales Manager,SALES MANAGER
 SR.manager,MANAGER
 Sr.Mgr,MANAGER
 State head,OTHERS
 SUPPORT OFFICER,OTHERS
" SUPPORT OFFICER,ASSET MANAGER",WEALTH MANAGER
" SUPPORT OFFICER,BRANCH MANAGER,ADVISOR",BRANCH MANAGER
" SUPPORT OFFICER,Dy Manager",DEPUTY BRANCH MANAGER
" SUPPORT OFFICER,EXECUTIVE",OTHERS
" SUPPORT OFFICER,OPERATIONS MANAGER",OPERATIONS MANAGER
 SYSTEM ADMINISTRATOR,OTHERS
" SYSTEM ADMINISTRATOR,CLERK",OTHERS
" SYSTEM ADMINISTRATOR,TRAINEE,TRAINEE,CUSTOMER SERVICE ASSISTANT",OTHERS
 TAX OFFICER,OTHERS
" TAX OFFICER,ACCOUNTS MANAGER",ACCOUNTS MANAGER
 TBM,OTHERS
 TEAM COACH,OTHERS
 TEAM LEAD,OTHERS
" TEAM LEAD,ANALYST,ANALYST",OTHERS
" TEAM LEAD,ASSISTANT MANAGER",ASSISTANT MANAGER
" TEAM LEAD,ASSISTANT MANAGER,TEAM LEAD,CUSTOMER SERVICE MANAGER,CUSTOMER SERVICE OFFICER,CUSTOMER SERVICE MANAGER",ASSISTANT MANAGER
" TEAM LEAD,BRANCH MANAGER",BRANCH MANAGER
" TEAM LEAD,BRANCH OPERATIONS MANAGER",OPERATIONS MANAGER
" TEAM LEAD,BRANCH SALES MGR - CASA,OPERATION OFFICER,OPERATION OFFICER,BRANCH HEAD,BRANCH HEAD,BRANCH HEAD",BRANCH MANAGER
" TEAM LEAD,DEPUTY MANAGER,SALES MANAGER",DEPUTY MANAGER
" TEAM LEAD,MANAGER",MANAGER
" TEAM LEAD,OPERATION INCHARGE",OPERATIONS MANAGER
" TEAM LEAD,TEAM LEAD",MANAGER
" TEAM LEAD,TEAM LEAD,OFFICER,TEAM LEAD,MAKER",MANAGER
 Team Leader,MANAGER
" Team Leader - Murex,Branch Manager",BRANCH MANAGER
 TEAM LEADER-ACCOUNTS,ACCOUNTS MANAGER
" TEAM LEADER-ACCOUNTS,BRANCH SALES MANAGER,BRANCH SALES MANAGER",SALES MANAGER
" TEAM LEADER-ACCOUNTS,SALES MANAGER,SALES MANAGER,DEPUTY MANAGER",DEPUTY MANAGER
 TEAM LEADER-PROJECT,OTHERS
 TEAM LEADER-REPAYMENTS/DMA,OTHERS
 TEAM MANAGER,MANAGER
" TEAM MANAGER,ASSISTANT,ASSISTANT MANAGER,OFFICER,MANAGER",MANAGER
 TEAMLEADER-BRANCH CENTRAL TEAM,MANAGER
 TECHNICAL MANAGER,OTHERS
 TECHNICAL OFFICER,OTHERS
" TECHNICAL OFFICER,SENIOR OFFICER,DEPUTY MANAGER",DEPUTY MANAGER
" TECHNICAL OFFICER,SENIOR TECHNICAL OFFICER,SENIOR TECHNICAL OFFICER",OTHERS
 TECHNOLOGY ADMINISTRATOR,OTHERS
 TECHNOLOGY CONSULTANT,OTHERS
 teller,OTHERS
 Teller Authoriser,OTHERS
 Teller Authorizer,OTHERS
 TERRITORY BUSINESS MANAGER,MANAGER
 TERRITORY MANAGER,MANAGER
" TERRITORY MANAGER,AGENCY MANAGER",MANAGER
" TERRITORY MANAGER,AREA SALES MANAGER",SALES MANAGER
" TERRITORY MANAGER,ASSISTANT MANAGER,TERRITORY MANAGER",MANAGER
" TERRITORY MANAGER,ASSOCIATE",MANAGER
" TERRITORY MANAGER,BRANCH MANAGER",BRANCH MANAGER
" TERRITORY MANAGER,DEPUTY GENERAL MANAGER,ASSISTANT GENERAL MANAGER,RELATIONSHIP MANAGER - WEALTH",MANAGER
" TERRITORY MANAGER,LOCATION HEAD",MANAGER
" TERRITORY MANAGER,MANAGER MARKETING",SALES MANAGER
" TERRITORY MANAGER,SALES MANAGER ASSETS,TEAM LEAD,TEAM LEAD,TERRITORY MANAGER",SALES MANAGER
" TERRITORY MANAGER,SENIOR OFFICER",MANAGER
" TERRITORY MANAGER,TERRITORY MANAGER,AREA BUSINESS MANAGER",MANAGER
 TESTING,OTHERS
" TESTING,ANALYST,ANALYST,ASSISTANT,BRANCH OPERATIONS MANAGER",OPERATIONS MANAGER
" TESTING,ASSOCIATE,EXECUTIVE",OTHERS
" TESTING,INFRASTRUCTURE MANAGER,TESTING,TESTING",OTHERS
 TRADE SERVICE MANAGER,OTHERS
 TRAINEE,OTHERS
 TRAINEE BANKING ASSISTANT,OTHERS
" TRAINEE,ASSISTANT MANAGER,EXECUTIVE",ASSISTANT MANAGER
" TRAINEE,ASSISTANT,ASSISTANT,ASSISTANT MANAGER",ASSISTANT MANAGER
" TRAINEE,ASSISTANT,BRANCH MANAGER,ASSISTANT,BRANCH MANAGER",ASSISTANT MANAGER
" TRAINEE,BRANCH MANAGER,EXECUTIVE,OFFICER,EXECUTIVE,DEALER,EXECUTIVE,ASSISTANT",BRANCH MANAGER
" TRAINEE,BRANCH MANAGER,TRAINEE",BRANCH MANAGER
" TRAINEE,CLERK,TRAINEE",BRANCH MANAGER
" TRAINEE,EXECUTIVE",OTHERS
" TRAINEE,EXECUTIVE,EXECUTIVE,BRANCH MANAGER",OTHERS
" TRAINEE,MANAGER",MANAGER
" TRAINEE,MANAGER,ASSISTANT,MANAGER,BRANCH MANAGER,BRANCH MANAGER",BRANCH MANAGER
" TRAINEE,PRODUCT MANAGER",MANAGER
" TRAINEE,SALES MANAGER,REGIONAL MANAGER,BRANCH OPERATIONS MANAGER,BRANCH OPERATIONS MANAGER",OPERATIONS MANAGER
" TRAINEE,TRAINEE",OTHERS
" TRAINEE,ZONAL HEAD,MANAGER",MANAGER
 Trainer,OTHERS
 TRAINING OFFICER,OTHERS
 TRANING MANAGER,OTHERS
" TREASURY COMPLIANCE MANAGER,TRADE DESK MANAGER",MANAGER
 UNDERWRITING HEAD,OTHERS
 UNDERWRITING MANAGER,OTHERS
 UNIT HEAD,MANAGER
" UNIT HEAD,DEPUTY MANAGER,ASSISTANT",DEPUTY MANAGER
" UNIT HEAD,EXECUTIVE",OTHERS
" UNIT HEAD,MANAGER",MANAGER
 UNIT MANAGER,MANAGER
" UNIT MANAGER,BRANCH MANAGER,BRANCH MANAGER",BRANCH MANAGER
" UNIT MANAGER,RELATIONSHIP MANAGER,BRANCH MANAGER,BRANCH MANAGER",BRANCH MANAGER
" UNIT MANAGER,ZONAL HEAD,OPERATIONS MANAGER",OPERATIONS MANAGER
 VERIFIER,OTHERS
" VERIFIER,VERIFIER",OTHERS
" VERTICAL BUSINESS HEAD,VICE PRESIDENT,VICE PRESIDENT",OTHERS
 VICE PRESIDENT,OTHERS
 w.d.o,OTHERS
" WEALTH MANAGER,AREA BUSINESS MANAGER",WEALTH MANAGER
" WEALTH MANAGER,BRANCH MANAGER",BRANCH MANAGER
" WEALTH MANAGER,WEALTH MANAGER,WEALTH MANAGER",WEALTH MANAGER
 ZONAL BUSINESS HEAD,MANAGER
 ZONAL BUSINESS MANAGER,MANAGER
" ZONAL COLLECTION MANAGER,ACCOUNT RELATIONSHIP MANAGER",DEBT SERVICE MANAGEMENT GROUP
 ZONAL HEAD,MANAGER
 ZONAL MANAGER,MANAGER
" Zonal Manager,ZONAL MANAGER",MANAGER
 ZONAL MARKETING MANAGER,MANAGER
 ZONAL OPERATIONS MANAGER,MANAGER
CSC E-Governance Services India Ltd,UNKNOWN
Standard Chartered Bank – Kelly Services Pvt. ,UNKNOWN
