Previous Designation,Prev_Desig_Class
" ASSISTANT MANAGER,DEPUTY MANAGER,DEPUTY MANAGER,MANAGER",DEPUTY MANAGER
" ASSISTANT MANAGER,DEPUTY MANAGER,MANAGER",DEPUTY MANAGER
" ASSISTANT MANAGER,DEPUTY MANAGER,TEAM LEAD",DEPUTY MANAGER
" ASSISTANT MANAGER,DEVELOPMENT OFFICER,BUSINESS ANALYST",ASSISTANT MANAGER
" ASSISTANT MANAGER,EXECUTIVE",ASSISTANT MANAGER
" ASSISTANT MANAGER,EXECUTIVE,ASSISTANT DEVELOPMENT MGR I,LIFE INSURANCE MANAGER,MANAGER",MANAGER
" ASSISTANT MANAGER,EXECUTIVE,ASSISTANT MANAGER",ASSISTANT MANAGER
" ASSISTANT MANAGER,EXECUTIVE,CSO - TELLER",ASSISTANT MANAGER
" ASSISTANT MANAGER,EXECUTIVE,CUSTOMER SERVICE",ASSISTANT MANAGER
" ASSISTANT MANAGER,JUNIOR OFFICER",ASSISTANT MANAGER
" ASSISTANT MANAGER,MANAGER",MANAGER
" ASSISTANT MANAGER,MANAGER,ASSISTANT MANAGER",MANAGER
" ASSISTANT MANAGER,MANAGER,DEPUTY MANAGER",MANAGER
" ASSISTANT MANAGER,OFFICER",ASSISTANT MANAGER
" ASSISTANT MANAGER,OFFICER TRAINEE,EXECUTIVE",ASSISTANT MANAGER
" ASSISTANT MANAGER,operation manager",OPERATIONS MANAGER
" ASSISTANT MANAGER,OPERATIONS MANAGER",OPERATIONS MANAGER
" ASSISTANT MANAGER,Other",BRANCH MANAGER
" ASSISTANT MANAGER,PRODUCT HEAD,BRANCH MANAGER,BRANCH MANAGER,PRODUCT HEAD,ASSISTANT",SALES MANAGER
" ASSISTANT MANAGER,SALES MANAGER",SALES MANAGER
" ASSISTANT MANAGER,SALES MANAGER LIABILITIES,SALES MANAGER,RELATIONSHIP MANAGER",ASSISTANT MANAGER
" ASSISTANT MANAGER,SALES MANAGER,ASSISTANT MANAGER,SALES MANAGER",ASSISTANT MANAGER
" ASSISTANT MANAGER,SALES MANAGER,CUSTOMER SERVICE MANAGER",SALES MANAGER
" ASSISTANT MANAGER,SALES MANAGER-INVT &amp; SERV,SALES MANAGER-INVT &amp; SERV,MANAGER",SALES MANAGER
" ASSISTANT MANAGER,SALES OFFICER - ASSETS,RELATIONSHIP MANAGER,DEPUTY MANAGER,Manager",MANAGER
" ASSISTANT MANAGER,SALES OFFICER,BUSINESS DEVELOPMENT OFFICER",SALES MANAGER
" Assistant Manager,SENIOR ASSOCIATE",ASSISTANT MANAGER
" ASSISTANT MANAGER,SENIOR OFFICER",ASSISTANT MANAGER
" Assistant manager,SUPPORT OFFICER",ASSISTANT MANAGER
" ASSISTANT MANAGER,TEAM MANAGER",ASSISTANT MANAGER
" ASSISTANT MANAGER,TRAINEE,ASSISTANT MANAGER",ASSISTANT MANAGER
 ASSISTANT PRODUCT MANAGER,ASSISTANT MANAGER
" ASSISTANT PRODUCT MANAGER,collections and sales,DEPUTY MANAGER",DEPUTY MANAGER
" ASSISTANT PRODUCT MANAGER,MANAGER",MANAGER
 ASSISTANT SECURITY OFFICER,OTHERS
 Assistant Team Leader,ASSISTANT MANAGER
" ASSISTANT,ACCOUNTS OFFICER",ASSISTANT MANAGER
" ASSISTANT,ACCOUNTS OFFICER,DEPUTY MANAGER",DEPUTY MANAGER
" ASSISTANT,AGENCY MANAGER,DEPUTY MANAGER,AGENCY MANAGER",DEPUTY MANAGER
" ASSISTANT,ANALYST,ASSISTANT",OTHERS
" ASSISTANT,ANALYST,ASSISTANT,ANALYST,ANALYST",OTHERS
" ASSISTANT,ASSET BRANCH HEAD",BRANCH MANAGER
" ASSISTANT,ASSISTANT",OTHERS
" ASSISTANT,ASSISTANT MANAGER",ASSISTANT MANAGER
" ASSISTANT,ASSISTANT MANAGER,ASSISTANT MANAGER",ASSISTANT MANAGER
" ASSISTANT,ASSISTANT MANAGER,ASSISTANT MANAGER,MANAGER,MANAGER",MANAGER
" ASSISTANT,ASSISTANT MANAGER,CUSTOMER SERVICE,ASSISTANT,TRAINEE",ASSISTANT MANAGER
" ASSISTANT,ASSISTANT,ASSISTANT",OTHERS
" ASSISTANT,ASSISTANT,ASSOCIATE,ASSISTANT,BRANCH MANAGER",BRANCH MANAGER
" ASSISTANT,ASSISTANT,BRANCH HEAD",BRANCH MANAGER
" ASSISTANT,ASSISTANT,CLERK",ASSISTANT MANAGER
" ASSISTANT,ASSISTANT,CUSTOMER SERVICE",ASSISTANT MANAGER
" ASSISTANT,ASSISTANT,DEPUTY MANAGER,ASSISTANT,ASSISTANT,DEPUTY MANAGER",DEPUTY MANAGER
" ASSISTANT,ASSISTANT,DEPUTY MANAGER,BRANCH MANAGER,MANAGER",MANAGER
" ASSISTANT,ASSISTANT,EXECUTIVE,OFFICER,ASSISTANT",ASSISTANT MANAGER
" ASSISTANT,ASSISTANT,MANAGER",MANAGER
" ASSISTANT,ASSISTANT,MANAGER,MANAGER,ASSISTANT",MANAGER
